sno,COMP_CODE,CAT_CODE,SUBJECT_CODE,COURSE_NAME,TOTAL_UNITS,LECTURE_UNITS,PRACTICAL_UNITS,STATUS,PROGRAM_CODE,CDC_DEL,CDC_YEAR,EVEN_SEM,ODD_SEM,SUMMER_TERM
497,2336,BITS,F327,ARTIFICIAL INTELLIGENCE FOR ROBOTICS,3,2,1,active,A4,DEL,0,FALSE,FALSE,FALSE
498,2178,CHE,F422,PETRO. REFI. TECH.,3,3,0,active,A1,DEL,0,FALSE,FALSE,FALSE
499,1503,PHY,F422,GROUP THEORY AND APPLICATIONS,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
500,1480,MATH,F421,COMBINATORIAL MATHEMATICS,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
501,1725,PHY,F491,SPECIAL PROJECT,3,0,0,active,B5,DEL,0,FALSE,FALSE,FALSE
502,1290,ME,F491,SPECIAL PROJECT,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
503,1590,ECON,F416,REGIONAL ECONOMICS,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
504,2406,ME,F318,COMPUTER-AIDED DESIGN,3,2,1,active,A4,DEL,0,FALSE,FALSE,FALSE
505,1942,FIN,F414,FINANCIAL RISK ANALYTICS AND MANAGEMENT,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
506,1334,BITS,F312,NEURAL NETWORKS AND FUZZY LOGIC,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
507,2279,CE,F230,CIVIL ENGINEERING MATERIALS,4,3,1,active,A2,CDC,2,FALSE,TRUE,FALSE
508,1504,PHY,F420,QUANTUM OPTICS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
509,2281,CE,F320,DESIGN OF REINFORCED CONCRETE,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
510,1501,PHY,F418,LASERS AND APPLICATIONS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
511,2310,ME,F425,ADDITIVE MANUFACTURING,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
512,2309,ME,F424,ENERGY MANAGEMENT,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
513,1209,CHE,F491,SPECIAL PROJECT,3,0,0,active,A1,DEL,0,FALSE,FALSE,FALSE
514,2408,ME,F320,ENGINEERING OPTIMIZATION,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
515,2516,ECE,F216,ELECTRONIC DEVICES SIMULATION LABORATORY,2,0,2,active,AA,DEL,0,FALSE,FALSE,FALSE
516,1307,PHA,F417,PHARMACOECONOMICS,3,3,0,active,A5,DEL,0,FALSE,FALSE,FALSE
517,2136,PHY,F379,THIN FILM TECHNOLOGY,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
518,1784,BITS,F319,NEGOTIATION SKILLS AND TECHNIQUES,2,2,0,active,B3,DEL,0,FALSE,FALSE,FALSE
519,2394,ME,F216,MATERIALS SCIENCE AND ENGINEER,3,2,1,active,A4,CDC,2,FALSE,TRUE,FALSE
520,2396,ME,F217,APPLIED THERMODYNAMICS,4,3,1,active,A4,CDC,2,FALSE,TRUE,FALSE
521,1478,MATH,F354,COMPLEX ANALYSIS,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
522,1585,CHEM,F335,ORGANIC CHEM & DRUG DES,3,3,0,active,B2,DEL,0,FALSE,FALSE,FALSE
523,1505,PHY,F421,ADV QUANTUM MECHANICS,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
524,1508,PHY,F425,ADV MATH METHODS OF PHY,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
525,1321,CS,F314,SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES,3,2,1,active,A7,DEL,0,FALSE,FALSE,FALSE
526,1506,PHY,F423,SPECIAL TOPICS IN STATISTICAL MECHANICS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
527,1260,EEE,F416,DIGITAL COMMUNICATION,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
528,2401,ME,F314,DESIGN OF MACHINE ELEMENTS,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
